	Bestandsnaam	Freq.	Percent	Cum.	Popularity
	GBAPERSOONTAB	933	4.82	36.60	high
	GBAADRESOBJECTBUS	593	3.06	24.82	high
	HOOGSTEOPLTAB	564	2.91	44.70	high
	GBAHUISHOUDENSBUS	534	2.76	28.43	high
	INHATAB	456	2.36	49.62	high
	VSLGWBTAB	442	2.28	92.80	high
	SPOLISBUS	424	2.19	85.28	high
	INPATAB	400	2.07	51.68	high
	NIETVSLGWBTAB	365	1.89	68.27	high
	SECMBUS	351	1.81	81.51	high
	IHI	317	1.64	46.82	high
	KINDOUDERTAB	297	1.53	58.20	high
	GBAOVERLIJDENTAB	257	1.33	31.32	high
	ABR	256	1.32	1.32	high
	VEHTAB	256	1.32	88.09	high
	IPI	245	1.27	54.75	high
	EBB	233	1.20	17.56	high
	BAANKENMERKENBUS	219	1.13	6.03	high
	DO	183	0.95	15.41	medium
	ONDERWIJSINSCHRTAB	182	0.94	70.02	medium
	POLISBUS	177	0.91	73.70	medium
	GBAADRESBUS	170	0.88	21.48	medium
	GBABURGERLIJKESTAATBUS	166	0.86	25.67	medium
	BETAB	162	0.84	9.37	medium
	GBAMIGRATIEBUS	162	0.84	29.30	medium
	MEDICIJNTAB	157	0.81	62.85	medium
	BAANSOMMENTAB	152	0.79	7.19	medium
	DOODOORZTAB	151	0.78	16.27	medium
	ZELFSTANDIGENTAB	149	0.77	98.42	medium
	BIJSTANDPERSOONBUS	136	0.70	10.54	medium
	ZVWZORGKOSTENTAB	134	0.69	99.80	medium
	AOTOTPERSOONBUS	123	0.64	3.35	medium
	EIGENDOMWOZBAGTAB	115	0.59	19.26	medium
	INTEGRAAL_VERMOGENSBESTAND	111	0.57	53.16	medium
	WWPERSOONBUS	108	0.56	97.24	medium
	GBANATIONALITEITBUS	102	0.53	30.00	medium
	EBBNW	101	0.52	18.08	medium
	NFO	99	0.51	65.79	medium
	VSLPOSTCODEBUS	96	0.50	93.35	low
	EIGENDOMTAB	93	0.48	18.65	low
	ONDERWIJSDEELNEMERSTAB	93	0.48	69.08	low
	BEBUS	89	0.46	8.37	low
	GBAPERSOONKTAB	89	0.46	31.78	low
	IPO	83	0.43	55.18	low
	AOTOTuitkering	82	0.42	4.28	low
	LMR_BASIS	82	0.42	60.93	low
	INSCHRWPOTAB	81	0.42	52.54	low
	DIPLOMAHOTAB	80	0.41	13.93	low
	BAANVTVBUS	79	0.41	7.60	low
	DIPLOMAMBOTAB	79	0.41	14.34	low
	KOPPELPERSOONHUISHOUDEN	77	0.40	58.66	low
	POLISIKOBUS	77	0.40	74.13	low
	EXAMVOTAB	76	0.39	20.30	low
	GEMSTPLBUS	72	0.37	39.78	low
	POLISIKPBUS	72	0.37	74.50	low
	LEVCYCLWOONNIETWOONBUS	71	0.37	60.13	low
	PARTNERBUS	71	0.37	71.45	low
	JGDHULPBUS	70	0.36	56.26	low
	VERDTAB	69	0.36	88.60	low
	CIS	68	0.35	12.71	low
	GECON	64	0.33	38.27	low
	PS_INDUSTRIE	64	0.33	77.50	low
	GEMEENTESTPLTAB	62	0.32	38.96	low
	INSCHRWECTAB	62	0.32	52.12	low
	VSVTAB	60	0.31	93.75	low
	BIJSTANDUITKERINGTAB	58	0.30	10.97	low
	WOON	58	0.30	95.07	low
	GEBWLZTAB	57	0.29	37.57	low
	NEA	57	0.29	65.27	low
	ABR_Regio	56	0.29	1.71	low
	JGDBESCHERMBUS	56	0.29	55.90	low
	LMR_DIAGN	56	0.29	61.22	low
	MSZSUBTRAJECTENTAB	55	0.28	64.27	low
	CITOTAB	54	0.28	12.99	low
	GBAADRESGEBEURTENISBUS	52	0.27	21.75	low
	AOTOTUITKERINGTAB	51	0.26	3.86	low
	BTW	51	0.26	11.88	low
	GEMON	51	0.26	39.22	low
	LBZBASISTAB	50	0.26	59.52	low
	OVUITKPERSOONBUS	50	0.26	71.08	low
	PS_COMMERCIELEDIENSTEN	50	0.26	75.99	low
	INDICAWBZTAB	49	0.25	47.07	low
	POLS_GEZOND	49	0.25	75.08	low
	STUDERENDENBUS	49	0.25	86.18	low
	BIJSTANDJAARBEDRAGTAB	48	0.25	9.76	low
	POLS_BASIS	48	0.25	74.83	low
	MIGMOTIEFBUS	46	0.24	63.27	low
	MSZGELEVERDZORGPROFIELTAB	46	0.24	63.60	low
	NIETGBAPERSOONTAB	46	0.24	66.22	low
	WMOBUS	46	0.24	94.67	low
	WWJAARBEDRAGTAB	46	0.24	96.61	low
	ZORGMVTAB	46	0.24	98.66	low
	GBAVERBINTENISPARTNERBUS	45	0.23	37.11	low
	PS_BOUWNIJVERHEID	45	0.23	75.73	low
	RIO	45	0.23	79.17	low
	BAANPRSJAARBEDRAGTAB	44	0.23	6.26	low
	HDIPLOMAREGTAB	44	0.23	41.29	low
	JGDRECLASBUS	44	0.23	56.48	low
	AOTOTUITKERINGATAB	43	0.22	3.59	low
	PS_GROOTHANDEL	43	0.22	77.11	low
	AOTOTJAARBEDRAGTAB	42	0.22	2.62	low
	EIGENDOMWOZTAB	42	0.22	19.48	low
	HALTTAB	42	0.22	41.03	low
	VRLMIGMOTBUS	42	0.22	90.07	low
	WRGPLUS	42	0.22	95.40	low
	WSNPTAB	42	0.22	95.92	low
	PS_DETAILHANDEL	41	0.21	76.37	low
	PS_TRANSPORT	40	0.21	78.11	low
	Kinderopvang	39	0.20	59.21	low
	GEBWMOTAB	38	0.20	37.77	low
	GECONextrasportenbeweegvariabelen	38	0.20	38.50	low
	INVESTERINGEN	38	0.20	53.37	low
	KOPPELTABELIKVIDBAANRUGIDTAB	38	0.20	58.85	low
	WANBZVWTAB	38	0.20	94.10	low
